freelancer_id,age,gender,country,years_experience,num_skills,profile_completeness,has_portfolio,has_video_profile,has_certifications,primary_skill,hourly_rate_usd,total_jobs_completed,job_success_rate,repeat_client_rate,avg_response_time_hrs,total_earnings_12m_usd,success_score,churn_risk,earnings_tier
FL_000049,50,Male,Brazil,2.8,9,91.2,1,0,1,Video Editing,280,32,93.9,0.278,11.8,49547,88.7,0,High
FL_000050,39,Male,India,7.1,8,48,1,0,0,Accounting & Finance,280,27,,0.324,17.6,123903,86.9,0,High
FL_000051,32,Male,United States,0.3,9,65.1,0,0,1,Graphic Design,,20,79.4,0.313,19.4,43411,72.6,1,High
FL_000052,43,Male,India,2.9,9,64.1,0,0,0,Mobile App Development,280,26,95.3,0.341,6.4,87677,89,0,High
FL_000053,40,Male,United Kingdom,4.3,13,66.6,1,1,0,AI & Machine Learning,280,23,88.4,0.38,23.7,74855,73.6,0,High
FL_000054,45,Female,Other,3.2,9,74.9,1,1,1,Mobile App Development,280,24,85.3,0.407,12.1,56506,78.7,0,High
FL_000055,23,Male,Ukraine,1,11,87.3,1,0,0,AI & Machine Learning,280,22,70.4,0.182,11.6,93370,64.2,0,High
FL_000056,25,Male,Canada,0.2,14,97.8,1,1,1,Digital Marketing,98.56,23,84.9,0.539,13.7,29130,76,1,Medium
FL_000057,39,Male,India,1.9,9,88.7,1,0,1,Digital Marketing,86.01,31,100,0.41,11.3,22840,90.9,0,Medium
FL_000058,27,Male,Nigeria,4,15,98.9,0,1,0,Video Editing,257.38,26,,0.202,15.1,145319,85.3,0,High
FL_000059,41,Male,Other,18.2,6,62.1,1,0,1,Mobile App Development,,51,75.8,0.316,11.6,228329,99,0,High
FL_000060,29,Female,Philippines,1,10,70.9,0,0,1,Data Science & Analytics,173.61,24,89.1,0.341,10.3,147480,76.6,0,High
FL_000061,27,Female,United Kingdom,9.5,9,74.8,1,1,0,Graphic Design,103.74,42,84.6,0.285,17,57896,91.1,0,High
FL_000062,38,Other,Ukraine,0.3,14,68.3,1,0,0,SEO / SEM,280,26,84.5,0.577,,245000,94.1,0,High
FL_000063,24,Female,Pakistan,10.2,12,61,1,0,1,Mobile App Development,280,40,,0.272,13.7,118972,99,0,High
FL_000064,45,Male,Other,6.8,7,85.2,1,0,0,Video Editing,280,31,89.2,0.234,11.5,174195,92.1,0,High
FL_000065,48,Male,United Kingdom,0.1,4,67.7,1,0,0,Graphic Design,189.2,20,84.9,0.211,15.2,70717,69.5,1,High
FL_000066,34,Male,India,1.3,9,91.9,1,1,,Web Development,280,27,81.4,0.264,15.6,56913,81.5,0,High
FL_000067,38,Male,United Kingdom,0.2,12,59.4,0,1,1,Content Writing / Copywriting,280,25,99.2,0.401,,81222,78.9,0,High
FL_000068,46,Female,India,20,11,92.8,1,0,1,Mobile App Development,,61,72,0.316,13.6,60412,99,0,High
FL_000069,29,Male,Pakistan,2.1,5,82.4,1,1,0,Content Writing / Copywriting,266.97,25,91.2,0.34,29.7,245000,85.6,0,High
FL_000070,46,Female,United States,4.1,6,82.4,1,1,1,Mobile App Development,117.67,30,89.8,0.331,21,83899,88,0,High
FL_000071,41,Male,Other,1,11,82.9,0,1,1,Data Science & Analytics,280,23,63.9,0.36,6.6,44185,65,0,High
FL_000072,22,Female,Other,10.3,15,77.7,1,0,0,Content Writing / Copywriting,280,37,99.6,0.258,13.3,179268,96.2,0,High
FL_000073,40,Female,United States,1.2,14,78,0,0,0,Graphic Design,280,20,90.1,,27.2,59505,71.4,0,High
FL_000074,48,Female,United States,1.1,12,74.7,0,0,1,Content Writing / Copywriting,163.34,34,80.2,0.37,20.6,159254,81,0,High
FL_000075,35,Female,Philippines,1.4,11,83.8,0,0,0,Content Writing / Copywriting,280,28,86.1,0.554,17.8,240321,85.8,0,High
FL_000076,48,Male,Brazil,2.4,13,87.8,1,1,0,Web Development,280,25,99,0.239,11.2,166821,91.7,0,High
FL_000077,27,Female,India,0.1,4,71.8,1,0,1,Digital Marketing,280,20,91.8,0.286,16,147405,83.6,0,High
FL_000078,32,Female,United States,3.5,6,100,1,0,0,SEO / SEM,280,33,,0.369,25,195307,85.7,0,High
FL_000079,49,Female,Philippines,0.1,14,73.1,0,0,1,Content Writing / Copywriting,114.69,24,89.6,0.298,15.9,245000,85.3,1,High
FL_000080,28,Female,Ukraine,2.9,11,67.8,1,0,0,AI & Machine Learning,280,35,86.1,0.375,21.5,77318,85.9,0,High
FL_000081,35,Female,India,2.3,4,76.6,1,0,0,AI & Machine Learning,172.96,27,82.7,0.329,15.9,117370,68.6,0,High
FL_000082,23,Female,Brazil,1.1,15,66.7,0,1,1,Content Writing / Copywriting,280,21,86.5,0.467,5,69858,75.1,0,High
FL_000083,34,Male,Other,1.5,10,86.5,0,0,0,Web Development,280,30,74.8,0.486,8.3,139281,76.2,1,High
FL_000084,37,Female,United States,4.6,7,76.7,1,0,0,Video Editing,144.44,29,84.3,0.319,23.4,66787,89,0,High
FL_000085,24,Male,Philippines,0,15,90.7,1,1,1,Web Development,156.35,28,95.3,0.183,15.1,163167,93,0,High
FL_000086,38,Male,United States,1.4,10,78,0,1,1,Digital Marketing,238.52,38,83.8,0.275,16.7,112908,81.9,1,High
FL_000087,28,Male,India,4.3,7,77.5,0,0,0,Video Editing,280,31,82.7,0.151,32.4,245000,94.5,0,High
FL_000088,24,Male,United States,0.6,11,72.5,0,0,1,Content Writing / Copywriting,280,31,100,0.12,25.6,245000,87.3,0,High
FL_000089,22,Male,United Kingdom,3.1,15,92.2,1,1,0,Digital Marketing,280,29,87.4,0.291,24.1,193724,92.2,0,High
FL_000090,50,Male,Canada,0.7,9,75.1,1,0,0,Mobile App Development,,28,100,0.5,9.3,245000,84,0,High
FL_000091,26,Male,Pakistan,0.6,13,83.2,1,0,0,Graphic Design,,28,100,0.277,2.5,245000,91.6,0,High
FL_000092,42,Male,India,5.6,13,95.7,0,0,0,Accounting & Finance,250.4,32,84.5,0.315,,245000,99,0,High
FL_000093,30,Male,United States,1.2,11,77.6,1,1,0,Web Development,172.52,22,87,0.274,8.6,27172,81.3,0,Medium
FL_000094,24,Female,Philippines,1.8,15,77.4,1,0,1,Web Development,280,25,91.8,0.298,14.6,245000,84.7,0,High
FL_000095,42,Female,United States,5,4,75.3,1,0,1,Data Science & Analytics,280,42,93.6,0.471,9.3,245000,96.8,0,High
FL_000096,49,Female,India,0.8,12,82,1,1,0,Digital Marketing,280,20,83.7,0.318,7.6,74100,74.7,0,High
FL_000097,51,Other,Philippines,2.9,14,91.9,1,0,0,AI & Machine Learning,280,25,69.9,0.552,23.9,121328,80.5,0,High
FL_000098,38,Female,Other,9.5,15,91.4,1,0,1,Content Writing / Copywriting,280,41,,0.299,9.2,245000,99,0,High
FL_000099,46,Male,United States,3.1,12,86.9,1,0,0,Digital Marketing,280,27,92.9,0.229,6.8,245000,78.3,0,High
FL_000100,32,Female,Nigeria,0.2,9,98.4,1,1,0,AI & Machine Learning,,31,95.6,0.343,4.1,200045,89.4,0,High
FL_000101,22,Female,United States,3.4,12,80.3,0,1,0,Content Writing / Copywriting,212.98,21,96.2,,16.9,203289,87.1,0,High
FL_000102,30,Male,Nigeria,0.4,9,100,1,0,1,Web Development,,33,96.1,0.438,,191803,78.8,0,High
FL_000103,50,Male,Philippines,1.3,9,95.8,1,0,0,Web Development,273.77,25,100,0.252,13.4,29244,86.7,0,Medium
FL_000104,24,Female,Germany,7.2,7,68.5,1,1,1,Web Development,280,44,86.5,0.31,16.8,126637,84.2,0,High
FL_000105,34,Male,Philippines,0,6,91.6,1,0,1,Video Editing,280,25,,0.28,13.4,39461,84.2,1,High
FL_000106,51,Female,India,0.3,6,49.3,1,0,1,Content Writing / Copywriting,127.58,30,89.9,0.342,10.4,66036,81.7,0,High
FL_000107,36,Male,India,1.7,5,98.2,1,1,1,Video Editing,280,24,76.5,0.446,19.6,62031,70.1,1,High
FL_000108,35,Male,United States,20,7,77.9,1,0,0,AI & Machine Learning,280,64,82.1,0.46,28.8,245000,99,0,High
FL_000109,28,Male,Philippines,1.3,12,66.6,1,0,1,Digital Marketing,280,24,85.1,0.546,10.7,130487,77.2,0,High
FL_000110,34,Male,Other,0.7,10,51,0,0,1,AI & Machine Learning,280,28,89.1,0.521,13.4,231277,85.6,0,High
FL_000111,43,Male,Philippines,3,6,76.8,1,0,0,Digital Marketing,280,29,,0.198,15.2,68562,68.8,1,High
FL_000112,48,Female,Brazil,2.8,11,98.4,1,0,,Video Editing,102.98,22,82.4,0.253,22.2,14598,71,1,Medium
FL_000113,45,Female,India,2.3,12,82.9,1,0,1,Web Development,280,27,100,,12.6,70768,73.4,1,High
FL_000114,50,Female,United Kingdom,11.1,4,72.7,0,0,1,Digital Marketing,280,48,84.4,0.295,14.9,245000,94.6,0,High
FL_000115,28,Male,India,1.2,15,76,1,0,0,Mobile App Development,280,23,96.1,0.288,4.2,226845,78.8,0,High
FL_000116,41,Female,United States,1.3,4,100,1,0,1,Video Editing,237.73,20,89.1,0.486,4.2,28921,81.2,0,Medium
FL_000117,36,Male,United Kingdom,0.6,12,90.2,1,0,0,Accounting & Finance,280,30,87.8,0.294,17.7,107231,91.1,0,High
FL_000118,33,Male,Brazil,4.5,12,78.3,1,1,0,Video Editing,163.74,32,87.5,0.241,10.2,14406,75.3,0,Medium
FL_000119,38,Male,United Kingdom,1.5,10,94,1,1,0,Web Development,,16,66.9,0.146,12.1,215798,69.8,0,High
FL_000120,35,Male,Nigeria,6.2,6,91.7,0,0,0,AI & Machine Learning,280,35,,0.212,,50213,73.1,0,High
FL_000121,41,Male,Brazil,13.6,7,64.8,0,0,0,Mobile App Development,280,50,100,0.305,15.5,129620,99,0,High
FL_000122,44,Male,India,0.2,10,73.5,0,1,0,Video Editing,170.06,26,68,0.549,19.5,34342,75.6,0,Medium
FL_000123,46,Female,Germany,18.9,12,100,1,0,1,Web Development,280,56,,0.344,18.6,245000,99,0,High
FL_000124,45,Female,India,1.1,11,89.8,1,1,0,Virtual Assistant,151.93,20,80,0.291,4.3,49086,68,0,High
FL_000125,48,Male,India,2.1,11,100,1,0,1,Digital Marketing,168.74,27,92.8,0.129,18.4,106579,76.1,0,High
FL_000126,48,Male,India,5.7,4,88.6,1,1,0,Content Writing / Copywriting,280,31,65.5,0.411,12.8,114582,85.5,0,High
FL_000127,48,Male,India,4.2,9,67.6,0,0,0,Data Science & Analytics,280,32,100,0.26,13.4,75755,89.8,0,High
FL_000128,33,Male,Brazil,5.7,9,78.7,0,1,0,Content Writing / Copywriting,125.11,36,100,,18.3,59675,98.8,0,High
FL_000129,29,Female,Other,2.4,8,91.6,1,1,0,AI & Machine Learning,,26,100,0.328,29.1,76957,83.8,0,High
FL_000130,49,Male,India,9.4,14,78.9,0,1,1,Graphic Design,280,45,98.7,0.316,25.3,154162,95.1,0,High
FL_000131,35,Female,United States,5.9,4,80,0,0,0,Data Science & Analytics,218.39,37,67.5,0.325,15.7,215252,91.8,0,High
FL_000132,33,Female,India,1.4,6,100,1,0,0,Virtual Assistant,,28,,0.346,17.8,44708,83.6,0,High
FL_000133,21,Male,Nigeria,11.3,15,75.2,1,0,0,Virtual Assistant,280,48,73,0.417,12.9,97152,92.4,0,High
FL_000134,45,Female,India,12.3,7,84.2,1,0,0,Digital Marketing,146,44,57.8,0.49,10.2,96881,81.5,0,High
FL_000135,27,Male,Philippines,2,13,83.2,1,0,0,Content Writing / Copywriting,280,30,90,0.47,32.4,245000,84.4,0,High
FL_000136,29,Male,Brazil,4,10,93.6,1,1,0,Content Writing / Copywriting,280,42,92.6,0.301,14.6,245000,89.7,0,High
FL_000137,44,Male,United Kingdom,6.4,8,83.2,1,0,1,Content Writing / Copywriting,280,31,,0.214,5.5,62424,95.7,0,High
FL_000138,21,Male,Other,6.5,5,81.1,1,1,1,Accounting & Finance,280,28,61.6,0.384,19.1,65842,85.5,0,High
FL_000139,32,Male,India,0.1,6,100,1,0,0,Video Editing,277.1,26,81,0.503,36,93132,75.3,0,High
FL_000140,28,Male,Other,3.8,4,77.4,0,0,1,Content Writing / Copywriting,280,41,82,,18.4,115932,97.7,0,High
FL_000141,44,Female,India,13.8,9,90.7,1,0,0,Web Development,280,45,81.5,0.406,6.6,224921,99,0,High
FL_000142,51,Female,United States,1,11,58.4,0,1,0,AI & Machine Learning,155.18,28,74.7,0.273,14.5,103281,62.6,0,High
FL_000143,31,Female,Brazil,6,7,79,1,0,1,AI & Machine Learning,280,29,91,0.5,9.9,241236,93.4,0,High
FL_000144,39,Male,Ukraine,2.9,5,77.5,1,0,0,Digital Marketing,,25,80.6,0.338,12,76110,87.5,0,High
FL_000145,37,Female,Germany,1,15,77.8,0,1,0,Video Editing,54.99,28,79.8,0.432,9.9,15187,58,0,Medium
FL_000146,28,Female,India,0.2,7,51.5,1,1,0,Graphic Design,,27,77.9,0.482,19.8,26553,60.4,0,Medium
FL_000147,23,Female,Other,5.4,13,73.3,1,0,0,Content Writing / Copywriting,280,36,100,0.353,16.7,95665,87.3,0,High
FL_000148,23,Female,United States,1.4,7,65.1,1,0,0,Web Development,280,24,77.8,0.346,9.5,168633,76.7,0,High
FL_000149,21,Female,United States,1.8,8,96.4,0,0,1,Web Development,280,24,82.4,0.39,7.8,245000,83.5,0,High
FL_000150,47,Male,India,2.5,6,65.2,1,1,1,Virtual Assistant,205.08,27,72.2,0.127,11.5,50394,61.3,1,High
FL_000151,25,Female,Germany,2.7,12,89.1,1,1,1,Mobile App Development,280,35,100,0.243,9.5,57209,76.3,0,High
FL_000152,30,Male,Nigeria,0.9,10,89.8,0,0,0,Content Writing / Copywriting,280,33,89.7,,,245000,90.2,0,High
FL_000153,27,Other,United Kingdom,4.2,12,69.5,1,0,1,Digital Marketing,280,23,100,,12.9,65914,91.2,0,High
FL_000154,46,Male,India,4.5,10,65.4,1,1,1,AI & Machine Learning,197.07,39,,0.352,15,191372,99,0,High
FL_000155,29,Male,United States,0.6,15,74.5,0,0,1,Content Writing / Copywriting,280,32,100,0.193,3,90337,77.2,0,High
FL_000156,48,Male,India,2.9,13,72.6,1,0,1,Accounting & Finance,225.82,18,90.8,0.215,12.2,37462,67,0,Medium
FL_000157,27,Female,United Kingdom,3.6,7,63.3,0,0,1,Mobile App Development,,30,69.3,0.266,18.6,121296,71.4,0,High
FL_000158,29,Male,Ukraine,0.8,8,74.3,1,1,1,AI & Machine Learning,280,16,75.6,0.42,22.7,119309,77.6,1,High
FL_000159,28,Male,Nigeria,8.5,10,84,1,0,0,AI & Machine Learning,,29,76.5,0.378,9.6,123580,92,0,High
FL_000160,32,Female,Other,2.5,9,59.9,1,0,1,Graphic Design,280,29,85.6,0.378,14.6,39294,82.5,0,High
FL_000161,22,Female,United States,0.5,12,75.9,0,0,0,Content Writing / Copywriting,280,22,80.8,0.297,9.2,119179,78.1,0,High
FL_000162,21,Male,India,1.5,6,70.6,1,0,0,Digital Marketing,280,18,91.3,0.461,12,86786,80.7,0,High
FL_000163,36,Male,Philippines,2.5,11,80.5,1,1,1,Mobile App Development,280,27,98.1,,14.1,155633,76.1,0,High
FL_000164,43,Female,Nigeria,0,14,100,1,0,0,AI & Machine Learning,217.22,28,87.2,0.425,11.6,45020,76.7,1,High
FL_000165,43,Female,Philippines,0.1,13,54.8,1,1,0,Content Writing / Copywriting,280,14,86,0.333,10.2,100528,84.1,0,High
FL_000166,50,Male,Other,0.2,14,77.3,1,0,0,Video Editing,280,32,84.8,0.385,18.7,142184,80.9,0,High
FL_000167,44,Female,Pakistan,2.9,7,83.5,1,0,1,Digital Marketing,280,26,98.7,0.159,16.5,147338,88,1,High
FL_000168,25,Male,United States,1.6,12,70.8,1,0,1,Mobile App Development,154.21,29,,0.246,19.5,31099,62.4,0,Medium
FL_000169,23,Female,United States,8.5,4,84.9,1,0,0,Graphic Design,,40,93.2,0.427,19.5,70798,99,0,High
FL_000170,32,Female,Brazil,3.1,8,55.6,1,1,0,Graphic Design,177.35,31,80.4,0.299,12.9,120167,78.8,0,High
FL_000171,28,Male,Ukraine,5.4,15,73.4,1,0,1,Virtual Assistant,280,37,,0.509,21.5,201168,92.3,0,High
FL_000172,42,Male,United States,4.4,7,40,0,0,0,AI & Machine Learning,280,33,95.8,0.385,25.1,245000,85.8,0,High
FL_000173,47,Female,United States,2.8,8,75.1,1,1,0,Video Editing,280,28,78.6,0.491,10.1,245000,84.9,0,High
FL_000174,23,Female,Pakistan,5.2,9,59.3,0,0,1,Graphic Design,263.61,46,90.5,0.378,14.2,245000,98.5,0,High
FL_000175,21,Male,Nigeria,3,4,84,1,1,0,Video Editing,280,26,91.5,0.407,21.4,138138,99,0,High
FL_000176,23,Female,United States,1.9,11,100,1,0,0,Web Development,280,24,89.5,0.186,7.5,50187,76.1,1,High
FL_000177,25,Female,United Kingdom,2.2,15,83.4,1,0,0,Video Editing,211.76,23,91,0.362,22,81347,90.7,0,High
FL_000178,35,Male,India,6.9,14,77.8,0,0,0,Digital Marketing,280,33,80.6,0.449,5.6,222743,90,0,High
FL_000179,34,Female,Other,3.1,6,70.7,1,0,0,Content Writing / Copywriting,113.81,27,80.3,0.364,16.5,53845,75.9,0,High
FL_000180,23,Female,India,1.8,10,74.5,1,0,0,Mobile App Development,280,35,96.7,0.283,6.4,100349,76.1,0,High
FL_000181,21,Female,Ukraine,0.8,10,74.8,1,1,0,AI & Machine Learning,280,27,80.3,0.284,10.9,35757,72.6,1,Medium
FL_000182,25,Male,Philippines,2.6,12,79.3,1,0,0,Data Science & Analytics,280,27,79.4,0.207,8.4,120679,68.8,0,High
FL_000183,46,Male,United States,1.1,14,86.6,1,0,0,Digital Marketing,280,20,78.9,0.323,18,201317,83.5,0,High
FL_000184,43,Male,Philippines,11.8,14,66.7,0,1,0,Digital Marketing,280,42,96.4,0.277,8.7,245000,99,0,High
FL_000185,51,Female,United States,2.6,10,97.4,0,0,1,Mobile App Development,,21,,0.382,11.1,40700,83,0,High
FL_000186,34,Female,Nigeria,0,15,75.6,1,0,1,Virtual Assistant,255.1,22,98.3,,18.8,119095,80.3,0,High
FL_000187,27,Female,Pakistan,0.4,11,79.2,0,0,1,Accounting & Finance,90.47,23,83.1,0.465,7.9,32585,72.1,0,Medium
FL_000188,47,Female,United States,1.3,7,99.6,1,0,1,Mobile App Development,,29,73.3,0.341,5.2,43095,89.2,0,High
FL_000189,29,Male,India,0.4,13,44.9,1,0,0,Data Science & Analytics,280,30,80.1,0.18,10.2,147922,56.2,1,High
FL_000190,35,Other,Germany,8.5,7,40,1,0,0,Content Writing / Copywriting,280,30,78.1,0.545,19.2,229173,99,0,High
FL_000191,35,Male,India,7.3,13,85.2,0,1,0,Content Writing / Copywriting,201.71,40,77.7,0.338,,154973,99,0,High
FL_000192,46,Female,Philippines,13.4,11,79.1,1,0,1,Accounting & Finance,280,50,82.2,0.427,22.1,245000,99,0,High
FL_000193,30,Male,India,4.7,7,100,1,0,0,Accounting & Finance,254.51,30,80.9,0.318,14.1,245000,85.1,0,High
FL_000194,48,Female,Other,3.9,7,61,1,1,1,Video Editing,280,30,81,,15.7,121526,90.1,0,High
FL_000195,33,Female,Philippines,9.8,13,86.8,1,1,1,Digital Marketing,280,35,90.6,0.228,16.4,245000,87.4,0,High
FL_000196,39,Female,Ukraine,11.1,6,73.2,1,0,0,AI & Machine Learning,280,44,74.5,0.424,3.1,97750,97.4,0,High
FL_000197,51,Male,United States,8,15,94.2,1,0,1,Digital Marketing,280,38,84.7,0.33,,31314,86.4,0,Medium
FL_000198,27,Male,United States,7.5,6,44,0,0,0,Content Writing / Copywriting,280,43,74.8,0.353,6.1,158630,99,0,High
FL_000199,37,Male,India,4.2,14,74.8,0,0,0,Web Development,280,30,,0.428,13.7,82215,80.2,0,High
FL_000200,40,Female,India,0,7,90.7,1,1,1,Content Writing / Copywriting,103.99,26,79.5,0.427,3,58569,65.5,1,High
FL_000201,49,Male,Ukraine,2.1,15,66.3,1,0,1,Virtual Assistant,280,28,83.3,0.362,14.6,49744,68.4,1,High
FL_000202,24,Female,Pakistan,3.8,5,78.1,1,1,1,Mobile App Development,235.43,28,88.7,0.212,7.3,98871,86.8,0,High
FL_000203,50,Male,India,3,15,79.8,1,1,1,Video Editing,280,28,90,0.429,7,64562,99,0,High
FL_000204,25,Male,Nigeria,6.5,6,84.4,0,0,1,Virtual Assistant,142.78,29,69.4,0.34,6,56618,77.8,0,High
FL_000205,43,Female,United States,6.5,14,61.6,1,0,0,Web Development,236.04,30,89.1,0.369,19.7,54669,82.8,0,High
FL_000206,27,Female,United States,3.5,15,71.2,1,1,1,Accounting & Finance,280,26,69.8,0.228,9.6,224843,75.1,0,High
FL_000207,33,Female,Other,0.1,5,86.9,1,0,1,Digital Marketing,280,20,100,0.26,13.7,82046,85.9,0,High
FL_000208,35,Female,Pakistan,1.8,14,90.9,1,0,0,Data Science & Analytics,,25,58.7,0.289,,80138,65.5,0,High
FL_000209,31,Male,Nigeria,1,9,81.8,1,0,1,Graphic Design,182.4,17,85.3,0.252,17.5,99606,78.7,0,High
FL_000210,49,Male,India,1.6,6,73.5,1,0,0,Mobile App Development,280,19,72.6,0.422,21.9,39485,68.1,1,High
FL_000211,24,Male,India,3.6,5,80.5,0,1,1,Graphic Design,280,32,84.4,0.433,9.1,141120,86.1,0,High
FL_000212,33,Male,United States,0.3,12,92.5,1,0,0,Video Editing,275.81,30,74.2,0.331,9.2,171929,73.3,0,High
